Date,State,stateFIPS,Count,NewCount,7DayAvg
07/03/20,AK,2,14,0,1
07/04/20,AK,2,14,0,1
07/05/20,AK,2,14,0,1
07/06/20,AK,2,14,0,1
07/07/20,AK,2,14,0,1
07/08/20,AK,2,14,0,0
07/09/20,AK,2,14,0,0
07/10/20,AK,2,14,0,0
07/11/20,AK,2,14,0,0
07/12/20,AK,2,17,3,1
07/13/20,AK,2,17,0,1
07/14/20,AK,2,17,0,1
07/15/20,AK,2,17,0,1
07/16/20,AK,2,17,0,1
07/17/20,AK,2,17,0,1
07/18/20,AK,2,18,1,1
07/19/20,AK,2,18,0,1
07/20/20,AK,2,18,0,1
07/21/20,AK,2,18,0,1
07/22/20,AK,2,19,1,1
01/22/20,AL,1,0,0,0
01/23/20,AL,1,0,0,0
01/24/20,AL,1,0,0,0
01/25/20,AL,1,0,0,0
01/26/20,AL,1,0,0,0
01/27/20,AL,1,0,0,0
01/28/20,AL,1,0,0,0
01/29/20,AL,1,0,0,0
01/30/20,AL,1,0,0,0
01/31/20,AL,1,0,0,0
02/01/20,AL,1,0,0,0
02/02/20,AL,1,0,0,0
02/03/20,AL,1,0,0,0
02/04/20,AL,1,0,0,0
02/05/20,AL,1,0,0,0
02/06/20,AL,1,0,0,0
02/07/20,AL,1,0,0,0
02/08/20,AL,1,0,0,0
02/09/20,AL,1,0,0,0
02/10/20,AL,1,0,0,0
02/11/20,AL,1,0,0,0
02/12/20,AL,1,0,0,0
02/13/20,AL,1,0,0,0
02/14/20,AL,1,0,0,0
02/15/20,AL,1,0,0,0
02/16/20,AL,1,0,0,0
02/17/20,AL,1,0,0,0
02/18/20,AL,1,0,0,0
02/19/20,AL,1,0,0,0
02/20/20,AL,1,0,0,0
02/21/20,AL,1,0,0,0
02/22/20,AL,1,0,0,0
02/23/20,AL,1,0,0,0
02/24/20,AL,1,0,0,0
02/25/20,AL,1,0,0,0
02/26/20,AL,1,0,0,0
02/27/20,AL,1,0,0,0
02/28/20,AL,1,0,0,0
02/29/20,AL,1,0,0,0
03/01/20,AL,1,0,0,0
03/02/20,AL,1,0,0,0
03/03/20,AL,1,0,0,0
03/04/20,AL,1,0,0,0
03/05/20,AL,1,0,0,0
03/06/20,AL,1,0,0,0
03/07/20,AL,1,0,0,0
03/08/20,AL,1,0,0,0
03/09/20,AL,1,0,0,0
03/10/20,AL,1,0,0,0
03/11/20,AL,1,0,0,0
03/12/20,AL,1,0,0,0
03/13/20,AL,1,0,0,0
03/14/20,AL,1,0,0,0
03/15/20,AL,1,0,0,0
03/16/20,AL,1,0,0,0
03/17/20,AL,1,0,0,0
03/18/20,AL,1,0,0,0
03/19/20,AL,1,0,0,0
03/20/20,AL,1,0,0,0
03/21/20,AL,1,0,0,0
03/22/20,AL,1,0,0,0
03/23/20,AL,1,0,0,0
03/24/20,AL,1,0,0,0
03/25/20,AL,1,1,1,1
03/26/20,AL,1,1,0,1
03/27/20,AL,1,2,1,1
03/28/20,AL,1,3,1,1
03/29/20,AL,1,4,1,1
03/30/20,AL,1,6,2,1
03/31/20,AL,1,13,7,2
04/01/20,AL,1,16,3,3
04/02/20,AL,1,17,1,3
04/03/20,AL,1,21,4,3
04/04/20,AL,1,26,5,4
04/05/20,AL,1,31,5,4
04/06/20,AL,1,32,1,4
04/07/20,AL,1,39,7,4
04/08/20,AL,1,48,9,5
04/09/20,AL,1,48,0,5
04/10/20,AL,1,58,10,6
04/11/20,AL,1,60,2,5
04/12/20,AL,1,61,1,5
04/13/20,AL,1,61,0,5
04/14/20,AL,1,73,12,5
04/15/20,AL,1,75,2,4
04/16/20,AL,1,82,7,5
04/17/20,AL,1,96,14,6
04/18/20,AL,1,110,14,8
04/19/20,AL,1,112,2,8
04/20/20,AL,1,112,0,8
04/21/20,AL,1,141,29,10
04/22/20,AL,1,174,33,15
04/23/20,AL,1,194,20,16
04/24/20,AL,1,208,14,16
04/25/20,AL,1,212,4,15
04/26/20,AL,1,218,6,16
04/27/20,AL,1,227,9,17
04/28/20,AL,1,240,13,15
04/29/20,AL,1,261,21,13
04/30/20,AL,1,269,8,11
05/01/20,AL,1,287,18,12
05/02/20,AL,1,287,0,11
05/03/20,AL,1,289,2,11
05/04/20,AL,1,297,8,10
05/05/20,AL,1,314,17,11
05/06/20,AL,1,341,27,12
05/07/20,AL,1,368,27,15
05/08/20,AL,1,381,13,14
05/09/20,AL,1,388,7,15
05/10/20,AL,1,391,3,15
05/11/20,AL,1,401,10,15
05/12/20,AL,1,438,37,18
05/13/20,AL,1,448,10,16
05/14/20,AL,1,470,22,15
05/15/20,AL,1,482,12,15
05/16/20,AL,1,482,0,14
05/17/20,AL,1,485,3,14
05/18/20,AL,1,486,1,13
05/19/20,AL,1,500,14,9
05/20/20,AL,1,522,22,11
05/21/20,AL,1,529,7,9
05/22/20,AL,1,541,12,9
05/23/20,AL,1,551,10,10
05/24/20,AL,1,558,7,11
05/25/20,AL,1,566,8,12
05/26/20,AL,1,580,14,12
05/27/20,AL,1,583,3,9
05/28/20,AL,1,605,22,11
05/29/20,AL,1,610,5,10
05/30/20,AL,1,618,8,10
05/31/20,AL,1,629,11,11
06/01/20,AL,1,643,14,11
06/02/20,AL,1,650,7,10
06/03/20,AL,1,650,0,10
06/04/20,AL,1,651,1,7
06/05/20,AL,1,670,19,9
06/06/20,AL,1,684,14,10
06/07/20,AL,1,687,3,9
06/08/20,AL,1,712,25,10
06/09/20,AL,1,723,11,11
06/10/20,AL,1,739,16,13
06/11/20,AL,1,750,11,15
06/12/20,AL,1,764,14,14
06/13/20,AL,1,768,4,12
06/14/20,AL,1,768,0,12
06/15/20,AL,1,774,6,9
06/16/20,AL,1,785,11,9
06/17/20,AL,1,790,5,8
06/18/20,AL,1,809,19,9
06/19/20,AL,1,821,12,9
06/20/20,AL,1,838,17,10
06/21/20,AL,1,839,1,11
06/22/20,AL,1,840,1,10
